## taxon_id	STRING_type	STRING_name_compact	official_name_NCBI
1033806	periphery	Halorhabdus tiamatea	Halorhabdus tiamatea SARL4B
1033810	core	Haloplasma contractile	Haloplasma contractile SSD-17B
1033837	periphery	Lactobacillus kefiranofaciens	Lactobacillus kefiranofaciens ZW3
1033991	periphery	Rhizobium leguminosarum CB782	Rhizobium leguminosarum bv. trifolii CB782
1034345	periphery	Senegalimassilia anaerobia	Senegalimassilia anaerobia JC110
1034347	periphery	Bacillus massiliosenegalensis	Bacillus massiliosenegalensis JC6
1034769	periphery	Paenibacillus sp. HW567	Paenibacillus sp. HW567
1034807	periphery	Flavobacterium branchiophilum	Flavobacterium branchiophilum FL-15
1034808	periphery	Mycoplasma anatis	Mycoplasma anatis 1340
1034809	periphery	Staphylococcus lugdunensis N920143	Staphylococcus lugdunensis N920143
1034943	periphery	Legionella massiliensis	Legionella massiliensis
1035184	periphery	Streptococcus constellatus pharyngis SK1060	Streptococcus constellatus subsp. pharyngis SK1060
1035187	periphery	Streptococcus mitis SK569	Streptococcus mitis SK569
1035189	periphery	Streptococcus infantis SK970	Streptococcus infantis SK970
1035191	periphery	Brevundimonas diminuta 4704	Brevundimonas diminuta 470-4
1035193	core	Capnocytophaga sp. F0382	Capnocytophaga sp. oral taxon 326 str. F0382
1035195	periphery	Corynebacterium durum	Corynebacterium durum F0235
1035196	periphery	Peptostreptococcus anaerobius VPI4330	Peptostreptococcus anaerobius VPI 4330
1035197	periphery	Prevotella sp. F0040	Prevotella sp. oral taxon 473 str. F0040
1035308	periphery	Dehalobacter sp. FTH1	Dehalobacter sp. FTH1
1035839	periphery	Haemophilus sputorum	Haemophilus sputorum CCUG 13788
1036674	periphery	Idiomarina sp. A28L	Idiomarina sp. A28L
1037409	periphery	Bradyrhizobium japonicum USDA6	Bradyrhizobium japonicum USDA 6
1037410	periphery	Mycoplasma columbinum	Mycoplasma columbinum SF7
1038858	periphery	Azorhizobium doebereinerae	Azorhizobium doebereinerae UFLA1-100
1038859	periphery	Bradyrhizobium elkanii WSM1741	Bradyrhizobium elkanii WSM1741
1038860	periphery	Bradyrhizobium elkanii WSM2783	Bradyrhizobium elkanii WSM2783
